index,open,close
46,382.8699727735119,385.86244628451016
47,383.15996869103003,386.18644256868913
48,383.45616654997946,386.5174742567842
49,383.7588605135901,386.8559090528329
50,384.0683692586944,387.2020656336675
51,384.38501146212485,387.5563607305305
52,384.7090812871113,387.9190885066519
53,385.0410199784987,388.290763747684
54,385.3811462131195,388.67175415766434
55,385.72990123581866,389.0625745222452
56,386.0877017778385,389.46369059987404
57,386.455038111229,389.8756662034083
58,386.83240050804,390.29906514570524
59,387.2203282675264,390.73452478042987
60,387.6193852025457,391.1827069748495
61,388.0302576939676,391.64434713703895
62,388.4535095546496,392.1201561614707
63,388.8899742470765,392.61106556503944
64,389.3403871793232,393.11788429662755
65,389.8055818138745,393.6416664411423
66,390.28648966762523,394.1834170562861
67,390.78414031188015,394.74436182218363
68,391.29958783154655,395.3257264189596
69,391.83405790674925,395.92890812195634
70,392.38884975842046,396.555451288131
71,392.96538517550493,397.20697381524826
72,393.56528205576734,397.88536325070027
73,394.1902318377798,398.5926297098916
74,394.8422201233444,399.3310284442518
75,395.5233550822759,400.1030843548379
76,396.23603904761865,400.9115674787319
77,396.9829685156472,401.7596155570531
78,397.76710963226344,402.6507585485609
79,398.5918943018167,403.5889921704619
80,399.4611221326938,404.57877789841035
81,400.3791565461388,405.62528810253264
82,401.3510228306632,406.7344060474277
83,402.382408142046,407.9128974873841
84,403.4800046937683,409.1686558024054
85,404.6515587842186,410.5108490798247
86,405.9061404463201,411.9502878183425
87,407.2545356651707,413.49981714566616
88,408.7096140820804,415.17478257695774
89,410.2869418346336,416.99376542290855
90,412.0054924511616,418.9796123610442
91,413.88892155807235,421.16066111584905
92,415.9668906143849,423.5727260605686
93,418.27759181278685,426.2620153359063
94,420.8711309567783,429.2893471896527
95,423.8148714260161,432.7369157309742
96,427.2013520699196,436.71839053464106
97,431.159735060036,441.39382091134433
98,435.86958253464246,446.9887565176423
